claim_id,public_claim,classification,evidence_id,evidence_path,status,caveat,source_revision
C-001,"Flowplane implements governed mapping management from versioned draft through rollout and rollback","private source and test inspection","governance-controls","docs/governance-and-security.md","SOURCE_INSPECTED","Public repository excludes production source; statement traces to inspected source and tests","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-002,"Production transformations are designed to execute in separately deployed data-plane runtimes","architecture and private source inspection","runtime-boundary","docs/architecture.md","SOURCE_INSPECTED","Deployment ownership is environment-specific; explicit replay or retention features can widen the boundary when enabled","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-003,"Native modules exist for Spring, Kafka Connect, Kafka Streams, and Flink; preserved local qualification varies by row","implementation and local execution","native-runtime-matrix","docs/runtime-portability.md","MEASURED_NOT_QUALIFIED","Kafka Connect and the focused Flink bundle lack broker-derived final-lag rows; module presence is not vendor certification","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-004,"A 30-minute Kafka/Flink soak accounted for 1,080,001 inputs with final lag zero","live local evidence","kafka-soak-20260711","evidence/kafka-soak/summary.md","LIVE_LOCAL_VERIFIED","102,400-byte local Docker workload with 1% intentional failures","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-005,"The 1 MiB core workload measured 503.620 microseconds mean and 1300.480 microseconds p99","controlled benchmark","core-1m-20260717","evidence/core-engine/summary.md","MEASURED_NOT_QUALIFIED","Benchmark completed; 9/12 repeatability checks met and three mean-spread checks exceeded tolerance","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-006,"The frozen scaling workload measured 0.473 to 19.387 milliseconds from 1 to 64 MiB","controlled benchmark","payload-scaling-20260718","evidence/payload-scaling/summary.md","MEASURED","Grown field was unreferenced and normalized output stayed fixed","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-007,"Fixed valid output was byte-identical across five runtime contract modes","contract test","runtime-parity-20260712","evidence/runtime-parity/summary.md","CONTRACT_VERIFIED","gRPC result is in-process contract parity, not a live service proof","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-008,"A preserved historical live gRPC service attempt returned UNIMPLEMENTED","historical live integration attempt","grpc-live-attempt","evidence/historical-attempts/grpc-live-service.md","PRESERVED_FAILURE","Superseded as the latest status by successful live gRPC batch and streaming runs from a newer sidecar build","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-009,"A preserved historical HTTP single-record run completed 59,600 of 60,000 records","historical live integration attempt","http-single-60000","evidence/historical-attempts/http-single-60000.md","INCOMPLETE","The older workload remains incomplete; newer 110-record and 10,000-record runs passed","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-010,"Runtime credentials are returned once, stored as hashes, and exchanged for short-lived tokens","private source and test inspection","runtime-credentials","docs/governance-and-security.md","SOURCE_INSPECTED","Not an independent security certification","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-011,"Twenty-two streaming and ecosystem integrations each completed a 100-valid and 10-invalid local proof with exact accounting","live local integration evidence","streaming-tool-matrix-20260720","evidence/integration-proofs/EVIDENCE-OVERVIEW.md","LIVE_LOCAL_VERIFIED","Focused local Docker interoperability only; not vendor certification or a stability claim","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-012,"Embedded Spring, HTTP single, HTTP batch, gRPC batch, gRPC streaming, and AWS/Azure/GCP HTTP wrappers each completed a live local baseline proof","live local runtime evidence","runtime-surface-matrix-20260721","evidence/integration-proofs/EVIDENCE-OVERVIEW.md","LIVE_LOCAL_VERIFIED","Applies to the preserved runtime builds, fixtures, and local Docker boundaries","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-013,"Five core JVM HTTP and gRPC surfaces each processed 10000 records over at least five minutes with exact accounting and healthy observations","live local stability evidence","core-surface-soaks-20260721","evidence/integration-proofs/EVIDENCE-OVERVIEW.md","LIVE_LOCAL_VERIFIED","Five-minute local stability qualification only; not a universal throughput or production durability claim","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
C-014,"Azure Queue Azure Event Hub and GCP Pub/Sub CloudEvent handlers each produced 100 exact outputs and 10 contract-valid DLQ results from local provider inputs","local emulator trigger evidence","provider-triggers-20260721","evidence/integration-proofs/EVIDENCE-OVERVIEW.md","LIVE_LOCAL_VERIFIED","Local emulator qualification; GCP includes an envelope-only Eventarc substitute; not managed-cloud certification","10a26df4d7ed6a41f8076a5d7280d73db543c13a"
